Country,Year,any_all,any_married,any_modern_all,any_active_unmarried,any_modern_married,any_modern_active_unmarried
Suriname,1975 [YR1975],..,..,..,..,..,..
Suriname,1976 [YR1976],..,..,..,..,..,..
Suriname,1977 [YR1977],..,..,..,..,..,..
Suriname,1978 [YR1978],..,..,..,..,..,..
Suriname,1979 [YR1979],..,..,..,..,..,..
Suriname,1980 [YR1980],..,..,..,..,..,..
Suriname,1981 [YR1981],..,..,..,..,..,..
Suriname,1982 [YR1982],..,..,..,..,..,..
Suriname,1983 [YR1983],..,..,..,..,..,..
Suriname,1984 [YR1984],..,..,..,..,..,..
Suriname,1985 [YR1985],..,..,..,..,..,..
Suriname,1986 [YR1986],..,..,..,..,..,..
Suriname,1987 [YR1987],..,..,..,..,..,..
