Country Name,Year,GDP per capita (current US$),Bachelor ,lower secondary,post-secondary,primary,short-cycle tertiary,upper secondary,Master,Doctoral
Ecuador,1995 [YR1995],2108.006982,..,..,..,..,..,..,..,..
Ecuador,1996 [YR1996],2135.847937,..,..,..,..,..,..,..,..
Ecuador,1997 [YR1997],2340.766,..,..,..,..,..,..,..,..
Ecuador,1998 [YR1998],2284.015728,..,..,..,..,..,..,..,..
Ecuador,1999 [YR1999],1575.302347,..,..,..,..,..,..,..,..
Ecuador,2000 [YR2000],1382.234218,..,..,..,..,..,..,..,..
Ecuador,2001 [YR2001],1791.303597,..,40.97000122,..,71.08000183,..,31.19000053,..,..
Ecuador,2002 [YR2002],2059.158554,..,..,..,..,..,..,..,..
Ecuador,2003 [YR2003],2315.622152,..,41.16999817,..,70.43000031,..,31.89999962,..,..
Ecuador,2004 [YR2004],2586.209147,..,..,..,..,..,..,..,..
Ecuador,2005 [YR2005],2909.02606,..,42.25,..,72.65000153,..,32.61999893,..,..
Ecuador,2006 [YR2006],3243.670104,..,42.50999832,..,72.30999756,..,32.58000183,..,..
Ecuador,2007 [YR2007],3478.924888,9.399999619,42.75999832,10.77999973,73.01000214,..,32.86999893,0.389999986,..
Ecuador,2008 [YR2008],4194.757507,9.520000458,42.79000092,10.64999962,73.13999939,..,32.95000076,0.589999974,..
Ecuador,2009 [YR2009],4053.363311,9.710000038,42.79000092,10.77000046,72.84999847,..,33.79999924,0.560000002,..
Ecuador,2010 [YR2010],4520.30959,9.81000042,44.56000137,11.02999973,73.33000183,..,34.59999847,0.649999976,..
Ecuador,2011 [YR2011],5153.691642,9.760000229,44.91999817,10.82999992,74.80000305,..,35.34999847,0.469999999,..
Ecuador,2012 [YR2012],5634.083932,10.98999977,46.52000046,12.07999992,75.55000305,..,37.20000076,0.670000017,..
Ecuador,2013 [YR2013],6109.290315,11.61999989,47.68999863,12.69999981,77.73999786,..,38.24000168,0.810000002,..
